#Datasets	deep1_merged_silva	deep2_merged_silva	deep3_merged_silva
"root;"	0	0	0
"root;cellular organisms;"	236	1692	379
"root;cellular organisms;Bacteria;"	6082	4787	3131
"root;cellular organisms;Bacteria;Actinobacteria <phylum>;"	0	0	0
"root;cellular organisms;Bacteria;Actinobacteria <phylum>;Actinobacteria;"	219	319	59
"root;cellular organisms;Bacteria;Actinobacteria <phylum>;Actinobacteria;Acidimicrobidae;"	0	0	0
"root;cellular organisms;Bacteria;Actinobacteria <phylum>;Actinobacteria;Acidimicrobidae;Acidimicrobiales;"	0	0	0
"root;cellular organisms;Bacteria;Actinobacteria <phylum>;Actinobacteria;Acidimicrobidae;Acidimicrobiales;Acidimicrobineae;"	8	319	47
"root;cellular organisms;Bacteria;Actinobacteria <phylum>;Actinobacteria;Actinobacteridae;"	0	0	0
"root;cellular organisms;Bacteria;Actinobacteria <phylum>;Actinobacteria;Actinobacteridae;Actinomycetales;"	0	0	0
"root;cellular organisms;Bacteria;Actinobacteria <phylum>;Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;"	0	0	0
"root;cellular organisms;Bacteria;Actinobacteria <phylum>;Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;"	0	2	0
"root;cellular organisms;Bacteria;Actinobacteria <phylum>;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;"	0	1	1
"root;cellular organisms;Bacteria;Actinobacteria <phylum>;Actinobacteria;Actinobacteridae;Actinomycetales;Propionibacterineae;"	0	0	0
"root;cellular organisms;Bacteria;Actinobacteria <phylum>;Actinobacteria;Actinobacteridae;Actinomycetales;Propionibacterineae;Propionibacteriaceae;"	0	0	0
"root;cellular organisms;Bacteria;Actinobacteria <phylum>;Actinobacteria;Actinobacteridae;Actinomycetales;Propionibacterineae;Propionibacteriaceae;Propionibacterium;"	0	9	0
"root;cellular organisms;Bacteria;Actinobacteria <phylum>;Actinobacteria;Nitriliruptoridae;"	0	2	1
"root;cellular organisms;Bacteria;Actinobacteria <phylum>;Actinobacteria;unclassified Actinobacteria;"	0	0	0
"root;cellular organisms;Bacteria;Actinobacteria <phylum>;Actinobacteria;unclassified Actinobacteria;marine Actinobacteria clade;"	0	0	0
"root;cellular organisms;Bacteria;Actinobacteria <phylum>;Actinobacteria;unclassified Actinobacteria;marine Actinobacteria clade;environmental samples <BDA1-5 cluster>;"	0	0	0
"root;cellular organisms;Bacteria;Actinobacteria <phylum>;Actinobacteria;unclassified Actinobacteria;marine Actinobacteria clade;environmental samples <BDA1-5 cluster>;uncultured actinobacterium OCS155;"	0	2	0
"root;cellular organisms;Bacteria;Bacteroidetes/Chlorobi group;"	1	2	7
"root;cellular organisms;Bacteria;Bacteroidetes/Chlorobi group;Bacteroidetes;"	41	78	115
"root;cellular organisms;Bacteria;Bacteroidetes/Chlorobi group;Bacteroidetes;Cytophagia;"	0	0	0
"root;cellular organisms;Bacteria;Bacteroidetes/Chlorobi group;Bacteroidetes;Cytophagia;Cytophagales;"	0	0	0
"root;cellular organisms;Bacteria;Bacteroidetes/Chlorobi group;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;"	0	0	0
"root;cellular organisms;Bacteria;Bacteroidetes/Chlorobi group;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Marinoscillum;"	9	19	19
"root;cellular organisms;Bacteria;Bacteroidetes/Chlorobi group;Bacteroidetes;Flavobacteriia;"	0	0	0
"root;cellular organisms;Bacteria;Bacteroidetes/Chlorobi group;Bacteroidetes;Flavobacteriia;Flavobacteriales;"	28	44	35
"root;cellular organisms;Bacteria;Bacteroidetes/Chlorobi group;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;"	2	2	0
"root;cellular organisms;Bacteria;Bacteroidetes/Chlorobi group;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Owenweeksia;"	7	22	3
"root;cellular organisms;Bacteria;Bacteroidetes/Chlorobi group;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;"	44	15	4
"root;cellular organisms;Bacteria;Bacteroidetes/Chlorobi group;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Sufflavibacter;"	15	2	0
"root;cellular organisms;Bacteria;Bacteroidetes/Chlorobi group;Bacteroidetes;Sphingobacteriia;"	0	0	3
"root;cellular organisms;Bacteria;Bacteroidetes/Chlorobi group;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;"	0	1	0
